KATALOG RONGGOLAWE;;;;;;;;;;;;
;;;;;;;;;;;;
HARI;:  JUM'AT, 31 MEI 2024;;;;;;;;;;;
;;;;;;;;;;;;
NO.;NAMA BARANG;MASUK;KET;KELUAR; HARGA JUAL ; HARGA JUAL KESELURUHAN ;;;;;;
1;AMPLAS BULAT 150;100;pcs;; 1.500 ; - ;;;;;;
2;AMPLAS ROL WANLY #100;100;METER;; 6.000 ; - ;;;;;;
3;AMPLAS ROL WANLY #400;40;METER;; 9.000 ; - ;;;;;;
4;AMPLAS ROL WANLY #50;40;METER;; 9.000 ; - ;;;;;;
5;BOYO PLITUR AIR;3;Kg;; 85.500 ; - ;;;;;;
6;BOYO PLITUR AIR;2;KG;; 85.500 ; - ;;;;;;
7;BOYO PLITUR S609 MINYAK;2;KG;; 79.000 ; - ;;;;;;
8;BOYO PLITUR S615 MINYAK;2;KG;; 79.000 ; - ;;;;;;
9;BOYO PLITUR WATER 609 AIR;2;KG;; 85.500 ; - ;;;;;;
10;CAT AVIAN 178;4;Kg;; 80.000 ; - ;;;;;;
11;CAT AVIAN 194;2;KG;; 80.000 ; - ;;;;;;
12;CAT AVIAN 329;4;Kg;; 80.000 ; - ;;;;;;
13;CAT AVIAN 370;3;Kg;; 80.000 ; - ;;;;;;
14;CAT AVIAN 480;4;Kg;; 80.000 ; - ;;;;;;
15;CAT AVIAN 670;3;Kg;; 80.000 ; - ;;;;;;
16;CAT AVIAN 670;7;Kg;; 80.000 ; - ;;;;;;
17;CAT AVIAN 732;2;KG;; 80.000 ; - ;;;;;;
18;CAT AVIAN 752;4;Kg;; 80.000 ; - ;;;;;;
19;CAT AVIAN CLING SB;2;KG;; 62.000 ; - ;;;;;;
20;CAT AVIAN CLING SW;2;KG;; 62.000 ; - ;;;;;;
21;CAT AVIAN SB;3;Kg;2; 80.000 ; 160.000 ;;;;;;
22;CAT AVIAN SW;3;Kg;; 80.000 ; - ;;;;;;
23;CAT AVITEX SB;25;Kg;; 40.000 ; - ;;;;;;
24;CAT AVITEX SW;5;Kg;; 150.500 ; - ;;;;;;
25;CAT AVITEX SW;3;Kg;; 40.000 ; - ;;;;;;
26;CAT AVITEX SW;9;Kg;; 40.000 ; - ;;;;;;
27;CAT AVITEX SW;10;KG;; 40.000 ; - ;;;;;;
28;CAT AVITEX SW 5KG;4;Pcs;; 145.000 ; - ;;;;;;
29;CAT NO DROP 002;2;Kg;; 70.000 ; - ;;;;;;
30;CAT NO DROP 003;3;Kg;; 70.000 ; - ;;;;;;
31;CAT NO DROP 004;2;Kg;; 70.000 ; - ;;;;;;
32;CAT NO DROP 006;2;Kg;; 70.000 ; - ;;;;;;
33;CAT NO DROP 006;4;Kg;; 70.000 ; - ;;;;;;
34;CAT NO DROP 006;2;Kg;; 70.000 ; - ;;;;;;
35;CAT NO DROP 007;6;Kg;; 70.000 ; - ;;;;;;
36;CAT NO DROP 009;3;Kg;; 70.000 ; - ;;;;;;
37;CAT NO DROP 0120;2;KG;; 70.000 ; - ;;;;;;
38;CAT NO DROP 017;2;KG;; 70.000 ; - ;;;;;;
39;CAT NO DROP 019;2;KG;; 70.000 ; - ;;;;;;
40;CAT NO DROP 020;2;Kg;; 70.000 ; - ;;;;;;
41;CAT NO DROP 021;2;KG;; 70.000 ; - ;;;;;;
42;CAT NO DROP 024;2;Kg;; 70.000 ; - ;;;;;;
43;CAT NO DROP 029;2;KG;; 70.000 ; - ;;;;;;
44;CAT PYLOK HITAM;12;Bj;; 31.000 ; - ;;;;;;
45;CAT PYLOK PUTIH;12;Bj;; 31.000 ; - ;;;;;;
46;CAULING GUN KALENG TULANG;5;Pcs;; 25.000 ; - ;;;;;;
47;"CLEAN OUT 3""";8;Pcs;; 13.000 ; - ;;;;;;
48;"CLEAN OUT 4""";8;Pcs;; 29.000 ; - ;;;;;;
49;"CLERAN OUT 3""";16;PCS;; 15.000 ; - ;;;;;;
50;D WELL ST TURBO;5;PCS;; 110.000 ; - ;;;;;;
51;DOP  1\2;100;PCS;; 2.500 ; - ;;;;;;
52;DOP  3\4;80;PCS;; 3.500 ; - ;;;;;;
53;"DOP 1"" AW";50;PCS;; 4.000 ; - ;;;;;;
54;"DOP 2"" ";18;PCS;; 8.500 ; - ;;;;;;
55;"DOP 3""";12;PCS;1; 13.000 ; 13.000 ;;;;;;
56;DOP DRAT LUAR 1\2;100;PCS;; 3.000 ; - ;;;;;;
57;DOP DRAT LUAR 3\4;100;PCS;; 3.500 ; - ;;;;;;
58;EMBER COR KUNING;100;PCS;20; 12.000 ; 240.000 ;;;;;;
59;ENGSEL GOMEO L3;12;PCS;; 15.500 ; - ;;;;;;
60;ENGSEL GOMEO L4 ;12;PCS;; 23.000 ; - ;;;;;;
61;FISCHER S6;1000;PCS;; 150 ; - ;;;;;;
62;FISCHER S8;1000;PCS;; 200 ; - ;;;;;;
63;GEMBOK 40MM PENDEK;12;PCS;; 20.000 ; - ;;;;;;
64;GEMBOK KING 20;12;PCS;; 7.500 ; - ;;;;;;
65;GEMBOK KNG 30;12;PCS;; 12.000 ; - ;;;;;;
66;GEMBOK KNG 40;12;PCS;; 11.000 ; - ;;;;;;
67;GRENDEL 3IN MULLER;50;PCS;; 20.000 ; - ;;;;;;
68;HAK ANGIN KOTAK PIH;24;PCS;; 8.000 ; - ;;;;;;
69;"HAK ANGIN PROYEK 8"" (KZK)";48;PCS;; 4.000 ; - ;;;;;;
70;KABEL ETERNA 2X1,5;50;METER;; 13.500 ; - ;;;;;;
71;KABEL NYYHY 0,75;100;METER;15; 8.000 ; 120.000 ;;;;;;
72;KAWAT 1/4 IJO ;20;METER;2; 12.000 ; 24.000 ;;;;;;
73;KAWAT 1\2 IJO (KG);20;METER;; 9.000 ; - ;;;;;;
74;KAWAT BENDRAT (BWG 22);25;KG;20; 22.000 ; 440.000 ;;;;;;
75;KAWAT BENDRAT (BWG 22);50;KG;; 22.000 ; - ;;;;;;
76;KLEM KABEL U 9;20;PCS;3; 6.000 ; 18.000 ;;;;;;
77;KLEM SELANG  3\4;100;PCS;; 3.000 ; - ;;;;;;
78;"KNEE 3"" ";30;PCS;; 18.000 ; - ;;;;;;
79;KRAN AMICO 3\4 ;24;PCS;; 25.000 ; - ;;;;;;
80;KRAN PVC SINLOG 3/4;24;PCS;; 12.000 ; - ;;;;;;
